,Jugador,País,Posc,Edad,90 s,Tkl,TklG,3.º def.,3.º cent.,3.º ataq.,Tkl,Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Partidos
452,Iván Balliu,al ALB,DF,32-073,24.0,31.0,21,13.0,18.0,0.0,16.0,31.0,51.6,15.0,21.0,8.0,13.0,24,55.0,53.0,1.0,Partidos
453,Óscar Valentín,es ESP,CC,29-207,23.0,75.0,45,29.0,42.0,4.0,34.0,71.0,47.9,37.0,44.0,8.0,36.0,25,100.0,42.0,1.0,Partidos
454,Álvaro García,es ESP,"DL,CC",31-139,21.9,26.0,19,12.0,8.0,6.0,6.0,29.0,20.7,23.0,24.0,0.0,24.0,28,54.0,30.0,0.0,Partidos
455,Unai López,es ESP,CC,28-136,16.9,32.0,16,14.0,14.0,4.0,15.0,38.0,39.5,23.0,20.0,3.0,17.0,9,41.0,11.0,1.0,Partidos
456,Aridane Hernández,es ESP,DF,34-357,17.8,10.0,8,5.0,4.0,1.0,4.0,10.0,40.0,6.0,18.0,13.0,5.0,13,23.0,96.0,1.0,Partidos
457,Raúl de Tomás,es ESP,DL,29-149,12.6,8.0,4,4.0,2.0,2.0,2.0,5.0,40.0,3.0,3.0,0.0,3.0,1,9.0,8.0,0.0,Partidos
458,Sergio Camello,es ESP,DL,23-033,12.5,11.0,4,2.0,7.0,2.0,3.0,7.0,42.9,4.0,6.0,1.0,5.0,1,12.0,10.0,0.0,Partidos
459,Óscar Trejo,ar ARG,"DL,CC",35-323,11.2,21.0,12,8.0,7.0,6.0,11.0,17.0,64.7,6.0,12.0,1.0,11.0,4,25.0,8.0,0.0,Partidos
460,Pathé Ciss,sn SEN,CC,29-364,13.4,28.0,13,10.0,18.0,0.0,13.0,21.0,61.9,8.0,19.0,7.0,12.0,23,51.0,39.0,0.0,Partidos
461,Abdul Mumin,gh GHA,DF,25-282,9.8,10.0,5,7.0,2.0,1.0,4.0,6.0,66.7,2.0,17.0,12.0,5.0,9,19.0,53.0,1.0,Partidos
462,Kike Pérez,es ESP,"CC,DL",27-029,9.1,26.0,11,11.0,14.0,1.0,11.0,22.0,50.0,11.0,11.0,0.0,11.0,8,34.0,6.0,0.0,Partidos
463,Jorge de Frutos,es ESP,"CC,DL",27-023,9.7,6.0,1,1.0,4.0,1.0,1.0,9.0,11.1,8.0,7.0,0.0,7.0,4,10.0,10.0,0.0,Partidos
464,Pep Chavarría,es ESP,"DF,CC",25-339,6.4,8.0,6,5.0,3.0,0.0,5.0,5.0,100.0,0.0,6.0,0.0,6.0,3,11.0,16.0,0.0,Partidos
465,Andrei Ratiu,ro ROU,DF,25-268,3.6,9.0,2,4.0,4.0,1.0,7.0,12.0,58.3,5.0,2.0,0.0,2.0,0,9.0,5.0,0.0,Partidos
466,Randy Ntekja,fr FRA,"DL,CC",26-099,5.2,7.0,1,1.0,3.0,3.0,3.0,7.0,42.9,4.0,5.0,1.0,4.0,2,9.0,8.0,0.0,Partidos
467,Crespo,pt POR,CC,27-185,2.6,7.0,6,4.0,2.0,1.0,5.0,7.0,71.4,2.0,4.0,1.0,3.0,6,13.0,2.0,0.0,Partidos
468,Radamel Falcao,co COL,"DL,DF",38-033,2.6,5.0,4,0.0,5.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1,6.0,3.0,0.0,Partidos
469,Bebé,cv CPV,"CC,DL",33-246,1.6,2.0,2,1.0,1.0,0.0,1.0,4.0,25.0,3.0,1.0,0.0,1.0,0,2.0,0.0,0.0,Partidos
470,Salvi,es ESP,CC,32-350,0.3,0.0,0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,1,1.0,0.0,0.0,Partidos
471,José Pozo,es ESP,"CC,DL",27-365,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Partidos
472,Diego Méndez,es ESP,CC,20-198,0.1,1.0,1,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1,2.0,0.0,0.0,Partidos
473,Total del equipo,,,30.3,28.0,438.0,250,194.0,203.0,41.0,192.0,436.0,44.0,244.0,290.0,68.0,222.0,230,668.0,621.0,9.0,
474,Total del oponente,,,27.7,28.0,501.0,307,217.0,223.0,61.0,224.0,431.0,52.0,207.0,285.0,78.0,207.0,208,709.0,527.0,13.0,
475,Jørgen Strand Larsen,no NOR,DL,24-037,24.7,14.0,8,1.0,10.0,3.0,5.0,29.0,17.2,24.0,12.0,1.0,11.0,5,19.0,13.0,0.0,Partidos
476,Unai Núñez,es ESP,DF,27-044,27.5,42.0,23,22.0,18.0,2.0,18.0,41.0,43.9,23.0,35.0,22.0,13.0,47,89.0,137.0,1.0,Partidos
477,Óscar Mingueza,es ESP,"DF,CC",24-306,23.8,43.0,26,30.0,7.0,6.0,27.0,61.0,44.3,34.0,29.0,4.0,25.0,14,57.0,34.0,1.0,Partidos
478,Iago Aspas,es ESP,DL,36-226,20.9,6.0,4,1.0,5.0,0.0,0.0,10.0,0.0,10.0,15.0,3.0,12.0,8,14.0,6.0,0.0,Partidos
479,Luca de la Torre,us USA,CC,25-296,20.1,36.0,19,12.0,21.0,3.0,20.0,39.0,51.3,19.0,19.0,3.0,16.0,11,47.0,16.0,0.0,Partidos
480,Carl Starfelt,se SWE,DF,28-287,19.9,30.0,25,25.0,4.0,1.0,17.0,25.0,68.0,8.0,28.0,23.0,5.0,24,54.0,138.0,2.0,Partidos
481,Fran Beltrán,es ESP,CC,25-040,17.9,37.0,21,14.0,16.0,7.0,18.0,46.0,39.1,28.0,18.0,0.0,18.0,15,52.0,18.0,0.0,Partidos
482,Jonathan Bamba,ci CIV,"CC,DL",27-354,17.3,13.0,8,4.0,7.0,2.0,1.0,14.0,7.1,13.0,15.0,0.0,15.0,12,25.0,9.0,0.0,Partidos
483,Vicente Guaita,es ESP,PO,37-064,18.7,1.0,1,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,0,1.0,7.0,0.0,Partidos
484,Manu Sánchez,es ESP,DF,23-203,17.6,48.0,23,19.0,24.0,5.0,26.0,46.0,56.5,20.0,22.0,3.0,19.0,16,64.0,60.0,0.0,Partidos
485,Renato Tapia,pe PER,"CC,DF",28-230,13.6,36.0,25,17.0,16.0,3.0,11.0,22.0,50.0,11.0,30.0,7.0,23.0,17,53.0,45.0,0.0,Partidos
486,Carlos Dominguez,es ESP,DF,23-032,11.2,22.0,12,9.0,9.0,4.0,15.0,22.0,68.2,7.0,15.0,6.0,9.0,20,42.0,53.0,0.0,Partidos
487,Iván Villar,es ESP,PO,26-249,9.3,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,5.0,0.0,Partidos
488,Mihailo Ristić,rs SRB,"DF,CC",28-135,8.5,15.0,9,9.0,6.0,0.0,9.0,12.0,75.0,3.0,9.0,2.0,7.0,9,24.0,21.0,0.0,Partidos
489,Kevin Vázquez,es ESP,DF,30-357,7.0,15.0,13,7.0,7.0,1.0,12.0,18.0,66.7,6.0,11.0,3.0,8.0,4,19.0,25.0,0.0,Partidos
490,Carlos Dotor,es ESP,CC,22-365,7.7,14.0,7,3.0,8.0,3.0,4.0,13.0,30.8,9.0,12.0,2.0,10.0,4,18.0,3.0,0.0,Partidos
491,Anastasios Douvikas,gr GRE,DL,24-225,7.5,10.0,5,2.0,3.0,5.0,1.0,6.0,16.7,5.0,3.0,2.0,1.0,1,11.0,8.0,0.0,Partidos
492,Franco Cervi,ar ARG,"CC,DF",29-293,5.3,20.0,14,12.0,7.0,1.0,10.0,20.0,50.0,10.0,14.0,0.0,14.0,7,27.0,4.0,0.0,Partidos
493,Javier Manquillo,es ESP,"DF,CC",29-314,4.6,10.0,6,3.0,4.0,3.0,7.0,11.0,63.6,4.0,10.0,2.0,8.0,1,11.0,10.0,0.0,Partidos
494,Carles Pérez,es ESP,"CC,DL",26-027,4.9,6.0,3,2.0,3.0,1.0,4.0,9.0,44.4,5.0,8.0,0.0,8.0,4,10.0,3.0,0.0,Partidos
495,Joseph Aidoo,gh GHA,DF,28-167,4.5,8.0,3,6.0,2.0,0.0,4.0,8.0,50.0,4.0,3.0,1.0,2.0,4,12.0,28.0,0.0,Partidos
496,Hugo Sotelo,es ESP,CC,20-086,3.7,8.0,7,1.0,5.0,2.0,2.0,7.0,28.6,5.0,6.0,1.0,5.0,1,9.0,2.0,0.0,Partidos
497,Jailson Siqueira,br BRA,"CC,DF",28-189,3.4,11.0,5,9.0,2.0,0.0,6.0,8.0,75.0,2.0,5.0,1.0,4.0,8,19.0,16.0,0.0,Partidos
498,Tadeo Allende,ar ARG,"CC,DL",25-023,2.8,5.0,1,3.0,1.0,1.0,3.0,4.0,75.0,1.0,3.0,0.0,3.0,2,7.0,2.0,0.0,Partidos
499,Miguel Rodríguez,es ESP,CC,20-320,2.1,4.0,2,2.0,1.0,1.0,2.0,6.0,33.3,4.0,5.0,0.0,5.0,2,6.0,0.0,0.0,Partidos
500,Williot Swedberg,se SWE,"CC,DL",20-042,1.5,5.0,3,2.0,3.0,0.0,3.0,5.0,60.0,2.0,2.0,0.0,2.0,0,5.0,3.0,0.0,Partidos
501,Hugo Álvarez,es ESP,CC,20-256,0.4,1.0,1,0.0,0.0,1.0,1.0,2.0,50.0,1.0,1.0,0.0,1.0,1,2.0,0.0,0.0,Partidos
502,Gabriel Veiga,es ESP,DL,21-292,0.2,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Partidos
503,Total del equipo,,,27.5,28.0,460.0,274,216.0,189.0,55.0,227.0,487.0,46.6,260.0,330.0,86.0,244.0,237,697.0,666.0,4.0,
504,Total del oponente,,,27.8,28.0,446.0,260,215.0,182.0,49.0,208.0,426.0,48.8,218.0,342.0,97.0,245.0,262,708.0,545.0,6.0,
505,Rubén Alcaraz,es ESP,CC,32-318,24.8,64.0,38,27.0,33.0,4.0,30.0,81.0,37.0,51.0,47.0,11.0,36.0,26,90.0,44.0,0.0,Partidos
506,Jeremías Ledesma,ar ARG,PO,31-030,24.9,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0,0.0,12.0,3.0,Partidos
507,Isaac Carcelen,es ESP,DF,30-326,23.3,41.0,26,27.0,12.0,2.0,19.0,35.0,54.3,16.0,20.0,6.0,14.0,23,64.0,76.0,2.0,Partidos
508,Chris Ramos,es ESP,"DL,CC",27-056,22.0,22.0,12,8.0,11.0,3.0,5.0,22.0,22.7,17.0,16.0,4.0,12.0,8,30.0,39.0,0.0,Partidos
509,Fali,es ESP,DF,30-215,21.6,29.0,17,20.0,8.0,1.0,14.0,26.0,53.8,12.0,30.0,20.0,10.0,20,49.0,87.0,0.0,Partidos
510,Javi Hernández,es ESP,DF,25-317,19.5,20.0,13,12.0,5.0,3.0,10.0,22.0,45.5,12.0,23.0,7.0,16.0,10,30.0,48.0,0.0,Partidos
511,Iván Alejo,es ESP,CC,29-033,17.4,34.0,17,21.0,8.0,5.0,16.0,53.0,30.2,37.0,18.0,0.0,18.0,4,38.0,17.0,0.0,Partidos
512,Roberto Navarro,es ESP,CC,21-337,12.2,32.0,20,13.0,15.0,4.0,12.0,27.0,44.4,15.0,23.0,0.0,23.0,11,43.0,7.0,0.0,Partidos
513,Roger Martí,es ESP,DL,33-071,11.6,9.0,5,1.0,8.0,0.0,1.0,5.0,20.0,4.0,13.0,1.0,12.0,6,15.0,3.0,0.0,Partidos
514,Gonzalo Escalante,ar ARG,CC,30-353,13.7,29.0,18,13.0,10.0,6.0,16.0,39.0,41.0,23.0,16.0,4.0,12.0,19,48.0,28.0,1.0,Partidos
515,Víctor Chust,es ESP,DF,24-009,12.0,18.0,12,13.0,5.0,0.0,11.0,16.0,68.8,5.0,15.0,10.0,5.0,6,24.0,46.0,0.0,Partidos
516,Lucas,br BRA,DF,22-356,13.9,39.0,22,26.0,9.0,4.0,25.0,42.0,59.5,17.0,22.0,3.0,19.0,12,51.0,41.0,0.0,Partidos
517,Rubén Sobrino,es ESP,"CC,DL",31-287,12.3,39.0,21,13.0,18.0,8.0,16.0,35.0,45.7,19.0,18.0,1.0,17.0,11,50.0,12.0,0.0,Partidos
518,Maxi Gómez,uy URU,DL,27-213,10.6,4.0,3,2.0,1.0,1.0,2.0,3.0,66.7,1.0,4.0,3.0,1.0,2,6.0,3.0,0.0,Partidos
519,Darwin Machís,ve VEN,CC,31-036,8.3,22.0,13,6.0,9.0,7.0,12.0,23.0,52.2,11.0,6.0,1.0,5.0,3,25.0,2.0,0.0,Partidos
520,Álex Fernández,es ESP,"CC,DL",31-151,10.0,10.0,3,7.0,3.0,0.0,7.0,14.0,50.0,7.0,11.0,4.0,7.0,11,21.0,24.0,0.0,Partidos
521,Luis Hernández,es ESP,DF,34-335,8.0,7.0,3,4.0,3.0,0.0,4.0,8.0,50.0,4.0,3.0,2.0,1.0,8,15.0,25.0,0.0,Partidos
522,Jorge Meré,es ESP,DF,26-332,7.5,8.0,7,6.0,2.0,0.0,4.0,7.0,57.1,3.0,5.0,3.0,2.0,8,16.0,33.0,0.0,Partidos
523,Rominigue Kouamé,ml MLI,CC,27-088,7.6,11.0,8,6.0,4.0,1.0,6.0,13.0,46.2,7.0,7.0,2.0,5.0,13,24.0,9.0,1.0,Partidos
524,Juanmi,es ESP,DL,30-299,4.2,5.0,2,0.0,5.0,0.0,1.0,3.0,33.3,2.0,5.0,0.0,5.0,4,9.0,1.0,0.0,Partidos
525,Joseba Zaldúa,es ESP,"DF,CC",31-264,3.6,12.0,7,10.0,1.0,1.0,6.0,9.0,66.7,3.0,4.0,3.0,1.0,1,13.0,10.0,0.0,Partidos
526,David Gil,es ESP,PO,30-063,3.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,3.0,0.0,Partidos
527,Fede San Emeterio,es ESP,CC,26-364,1.7,3.0,2,2.0,1.0,0.0,1.0,4.0,25.0,3.0,3.0,2.0,1.0,2,5.0,1.0,0.0,Partidos
528,Mamadou Mbaye,sn SEN,DF,25-260,3.2,6.0,3,3.0,3.0,0.0,2.0,5.0,40.0,3.0,10.0,7.0,3.0,5,11.0,26.0,0.0,Partidos
529,Sergi Guardiola,es ESP,"DL,CC",32-290,4.1,6.0,4,1.0,3.0,2.0,3.0,5.0,60.0,2.0,7.0,0.0,7.0,0,6.0,4.0,0.0,Partidos
530,Aiham Ousou,sy SYR,DF,24-065,1.0,2.0,1,2.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0,2.0,5.0,0.0,Partidos
531,Brian Ocampo,uy URU,CC,24-263,1.5,2.0,1,0.0,2.0,0.0,1.0,2.0,50.0,1.0,3.0,0.0,3.0,1,3.0,0.0,0.0,Partidos
532,Álvaro Negredo,es ESP,"DL,CC",38-207,0.6,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,1,1.0,0.0,0.0,Partidos
533,Diadie Samassékou,ml MLI,CC,28-063,0.6,2.0,1,2.0,0.0,0.0,2.0,3.0,66.7,1.0,0.0,0.0,0.0,2,4.0,1.0,0.0,Partidos
534,Karl Etta,cm CMR,DL,20-073,0.2,1.0,1,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,Partidos
535,José Mari,es ESP,"CC,DL",36-099,0.2,2.0,1,0.0,2.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,0,2.0,0.0,0.0,Partidos
536,Milutin Osmajić,me MNE,CC,24-233,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Partidos
537,Moussa Diakité,ml MLI,CC,20-131,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Partidos
538,Total del equipo,,,29.2,28.0,479.0,281,245.0,182.0,52.0,228.0,507.0,45.0,279.0,330.0,94.0,236.0,217,696.0,607.0,7.0,
539,Total del oponente,,,28.1,28.0,421.0,258,188.0,181.0,52.0,185.0,342.0,54.1,157.0,250.0,62.0,188.0,182,603.0,575.0,5.0,
540,Carlos Neva,es ESP,DF,27-276,25.0,24.0,16,17.0,6.0,1.0,13.0,32.0,40.6,19.0,29.0,10.0,19.0,14,38.0,78.0,1.0,Partidos
541,Ignasi Miquel,es ESP,DF,31-168,25.2,35.0,22,31.0,4.0,0.0,18.0,30.0,60.0,12.0,20.0,9.0,11.0,33,68.0,104.0,3.0,Partidos
542,Myrto Uzuni,al ALB,"DL,CC",28-288,22.4,14.0,11,6.0,6.0,2.0,5.0,25.0,20.0,20.0,17.0,2.0,15.0,3,17.0,6.0,0.0,Partidos
543,Ricard Sánchez,es ESP,DF,24-021,21.9,24.0,16,10.0,8.0,6.0,11.0,22.0,50.0,11.0,23.0,3.0,20.0,12,36.0,56.0,0.0,Partidos
544,Gerard Gumbau,es ESP,CC,29-087,19.9,34.0,19,11.0,20.0,3.0,10.0,34.0,29.4,24.0,17.0,3.0,14.0,15,49.0,20.0,1.0,Partidos
545,Sergio Ruiz,es ESP,CC,29-089,19.2,56.0,33,28.0,24.0,4.0,23.0,53.0,43.4,30.0,14.0,5.0,9.0,18,74.0,33.0,1.0,Partidos
546,Lucas Boyé,ar ARG,DL,28-015,17.6,39.0,19,9.0,21.0,9.0,12.0,24.0,50.0,12.0,26.0,3.0,23.0,6,45.0,32.0,0.0,Partidos
547,Bryan Zaragoza,es ESP,"CC,DL",22-324,18.2,18.0,9,8.0,6.0,4.0,8.0,23.0,34.8,15.0,9.0,0.0,9.0,3,21.0,3.0,0.0,Partidos
548,Gonzalo Villar,es ESP,CC,25-357,15.8,41.0,26,20.0,17.0,4.0,19.0,33.0,57.6,14.0,27.0,10.0,17.0,6,47.0,23.0,1.0,Partidos
549,André Ferreira,pt POR,PO,27-290,14.9,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,9.0,2.0,Partidos
550,Óscar Melendo,es ESP,"CC,DL",26-204,10.8,13.0,5,4.0,9.0,0.0,4.0,12.0,33.3,8.0,12.0,0.0,12.0,5,18.0,3.0,1.0,Partidos
551,Raúl Torrente,es ESP,DF,22-185,11.5,24.0,15,17.0,7.0,0.0,16.0,20.0,80.0,4.0,13.0,8.0,5.0,9,33.0,53.0,2.0,Partidos
552,Augusto Batalla,ar ARG,PO,27-319,9.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,1.0,Partidos
553,Miguel Ángel Rubio,es ESP,DF,26-003,8.3,10.0,5,6.0,4.0,0.0,7.0,10.0,70.0,3.0,18.0,11.0,7.0,14,24.0,29.0,1.0,Partidos
554,José Callejón,es ESP,"CC,DL",37-032,7.1,9.0,4,6.0,3.0,0.0,6.0,16.0,37.5,10.0,4.0,1.0,3.0,1,10.0,10.0,0.0,Partidos
555,Bruno Méndez,uy URU,DF,24-186,6.2,8.0,4,6.0,1.0,1.0,4.0,6.0,66.7,2.0,8.0,4.0,4.0,9,17.0,21.0,0.0,Partidos
556,Antonio Puertas,es ESP,"CC,DL",32-022,7.0,10.0,7,4.0,5.0,1.0,5.0,13.0,38.5,8.0,4.0,0.0,4.0,5,15.0,4.0,0.0,Partidos
557,Álvaro Carreras,es ESP,"CC,DL",20-357,5.3,13.0,8,8.0,4.0,1.0,5.0,11.0,45.5,6.0,5.0,1.0,4.0,7,20.0,9.0,1.0,Partidos
558,Facundo Pellistri,uy URU,"CC,DL",22-085,4.7,12.0,6,4.0,4.0,4.0,3.0,5.0,60.0,2.0,6.0,0.0,6.0,3,15.0,4.0,0.0,Partidos
559,Martin Hongla,cm CMR,"CC,DF",25-364,3.7,2.0,1,1.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,2.0,2.0,5,7.0,9.0,1.0,Partidos
560,Raúl Fernández,es ESP,PO,36-001,3.1,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,2.0,Partidos
561,Kamil Piątkowski,pl POL,DF,23-267,2.9,13.0,7,11.0,1.0,1.0,7.0,9.0,77.8,2.0,3.0,3.0,0.0,3,16.0,12.0,0.0,Partidos
562,Wilson Manafá,pt POR,"DF,CC",29-235,2.7,6.0,4,3.0,2.0,1.0,4.0,7.0,57.1,3.0,1.0,0.0,1.0,1,7.0,4.0,1.0,Partidos
563,Matias Arezo,uy URU,DL,21-114,2.3,3.0,1,0.0,3.0,0.0,1.0,4.0,25.0,3.0,3.0,1.0,2.0,0,3.0,3.0,0.0,Partidos
564,Víctor Díaz,es ESP,"DF,CC",35-276,1.8,5.0,3,2.0,3.0,0.0,1.0,3.0,33.3,2.0,1.0,0.0,1.0,1,6.0,8.0,0.0,Partidos
565,Faitout Maouassa,fr FRA,"DF,CC",25-252,1.8,8.0,5,6.0,1.0,1.0,4.0,5.0,80.0,1.0,4.0,0.0,4.0,1,9.0,2.0,0.0,Partidos
566,Jesús Vallejo,es ESP,DF,27-069,1.2,3.0,1,1.0,2.0,0.0,2.0,2.0,100.0,0.0,3.0,2.0,1.0,0,3.0,1.0,1.0,Partidos
567,Kamil Jóźwiak,pl POL,CC,25-327,1.1,1.0,0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,0,1.0,1.0,0.0,Partidos
568,Samuel Omorodion,es ESP,DL,19-314,0.9,1.0,1,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,Partidos
569,Njegoš Petrović,rs SRB,"CC,DL",24-240,1.7,5.0,2,4.0,1.0,0.0,2.0,3.0,66.7,1.0,2.0,0.0,2.0,1,6.0,3.0,0.0,Partidos
570,Famara Diedhiou,sn SEN,"DL,CC",31-090,1.0,1.0,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1.0,2.0,0.0,Partidos
571,Shon Weissman,il ISR,DL,28-029,0.9,1.0,1,0.0,0.0,1.0,1.0,4.0,25.0,3.0,3.0,0.0,3.0,0,1.0,1.0,0.0,Partidos
572,Theo Corbeanu,ca CAN,CC,21-302,0.5,3.0,1,1.0,2.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,1,4.0,0.0,0.0,Partidos
573,Adri Bosch,es ESP,DF,22-279,0.3,1.0,1,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,Partidos
574,Alberto Soro,es ESP,CC,25-005,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Partidos
575,Alberto Perea,es ESP,"CC,DL",33-086,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Partidos
576,Total del equipo,,,27.4,27.0,437.0,254,226.0,167.0,44.0,193.0,415.0,46.5,222.0,278.0,78.0,200.0,176,613.0,545.0,20.0,
577,Total del oponente,,,27.8,27.0,439.0,260,200.0,187.0,52.0,233.0,466.0,50.0,233.0,283.0,73.0,210.0,200,639.0,527.0,9.0,
578,Luís Maximiano,pt POR,PO,25-069,25.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,11.0,1.0,Partidos
579,Édgar González,es ESP,"DF,CC",26-348,22.1,36.0,17,16.0,17.0,3.0,19.0,36.0,52.8,17.0,38.0,20.0,18.0,27,63.0,106.0,1.0,Partidos
580,Adri Embarba,es ESP,"DL,CC",31-312,19.1,38.0,24,22.0,7.0,9.0,16.0,35.0,45.7,19.0,21.0,0.0,21.0,10,48.0,8.0,0.0,Partidos
581,Lucas Robertone,ar ARG,CC,26-362,18.6,46.0,27,21.0,18.0,7.0,18.0,37.0,48.6,19.0,31.0,7.0,24.0,34,80.0,27.0,0.0,Partidos
582,Dion Lopy,sn SEN,CC,22-041,19.1,57.0,35,34.0,17.0,6.0,15.0,39.0,38.5,24.0,19.0,5.0,14.0,14,71.0,21.0,1.0,Partidos
583,Sergio Arribas,es ESP,"CC,DL",22-166,19.5,31.0,15,16.0,14.0,1.0,12.0,27.0,44.4,15.0,17.0,1.0,16.0,13,44.0,8.0,1.0,Partidos
584,Sergio Akieme,es ESP,DF,26-089,18.6,27.0,15,18.0,7.0,2.0,13.0,16.0,81.3,3.0,14.0,4.0,10.0,10,37.0,34.0,0.0,Partidos
585,Juan Brandáriz,es ESP,DF,25-012,18.5,27.0,17,18.0,9.0,0.0,14.0,19.0,73.7,5.0,27.0,18.0,9.0,11,38.0,69.0,0.0,Partidos
586,Iddrisu Baba,gh GHA,CC,28-052,15.3,45.0,25,27.0,17.0,1.0,16.0,37.0,43.2,21.0,20.0,6.0,14.0,11,56.0,26.0,2.0,Partidos
587,Largie Ramazani,be BEL,"DL,CC",23-016,14.7,12.0,7,5.0,6.0,1.0,6.0,26.0,23.1,20.0,11.0,2.0,9.0,25,37.0,8.0,0.0,Partidos
588,Léo Baptistão,br BRA,DL,31-201,13.6,15.0,8,6.0,4.0,5.0,6.0,18.0,33.3,12.0,7.0,1.0,6.0,6,21.0,16.0,0.0,Partidos
589,César Montes,mx MEX,DF,27-019,13.0,15.0,9,7.0,8.0,0.0,6.0,10.0,60.0,4.0,15.0,5.0,10.0,7,22.0,57.0,0.0,Partidos
590,Pubill,es ESP,DF,20-268,12.2,34.0,17,26.0,6.0,2.0,16.0,31.0,51.6,15.0,13.0,6.0,7.0,9,43.0,44.0,0.0,Partidos
591,Gonzalo Melero,es ESP,"CC,DL",30-072,10.3,12.0,7,6.0,4.0,2.0,6.0,14.0,42.9,8.0,10.0,2.0,8.0,4,16.0,8.0,0.0,Partidos
592,Alejandro Pozo Pozo,es ESP,"DF,CC",25-021,9.4,17.0,10,9.0,6.0,2.0,10.0,18.0,55.6,8.0,13.0,4.0,9.0,5,22.0,19.0,0.0,Partidos
593,Luis Javier Suárez,co COL,"DL,CC",26-103,8.0,5.0,4,2.0,3.0,0.0,1.0,4.0,25.0,3.0,9.0,0.0,9.0,0,5.0,9.0,0.0,Partidos
594,Álex Centelles,es ESP,DF,26-127,5.9,8.0,4,7.0,1.0,0.0,5.0,12.0,41.7,7.0,5.0,2.0,3.0,10,18.0,17.0,0.0,Partidos
595,Kaiky,br BRA,DF,20-062,5.8,7.0,4,6.0,0.0,1.0,3.0,6.0,50.0,3.0,9.0,7.0,2.0,3,10.0,29.0,1.0,Partidos
596,Aleksandar Radovanović,rs SRB,DF,30-124,4.8,6.0,5,6.0,0.0,0.0,5.0,5.0,100.0,0.0,8.0,8.0,0.0,8,14.0,41.0,0.0,Partidos
597,Anthony Lozano,hn HON,DL,30-324,4.1,1.0,1,0.0,1.0,0.0,1.0,2.0,50.0,1.0,1.0,0.0,1.0,1,2.0,7.0,0.0,Partidos
598,Houboulang Mendes,gw GNB,DF,25-315,4.4,16.0,13,11.0,5.0,0.0,8.0,16.0,50.0,8.0,4.0,2.0,2.0,1,17.0,17.0,1.0,Partidos
599,Jonathan Viera,es ESP,CC,34-145,3.2,3.0,0,1.0,2.0,0.0,3.0,5.0,60.0,2.0,2.0,0.0,2.0,0,3.0,1.0,0.0,Partidos
600,Bruno Langa,mz MOZ,DF,26-135,3.0,5.0,3,4.0,1.0,0.0,2.0,5.0,40.0,3.0,8.0,3.0,5.0,2,7.0,16.0,1.0,Partidos
601,Arnau Puigmal,es ESP,"DL,DF",23-064,2.8,2.0,1,1.0,1.0,0.0,1.0,3.0,33.3,2.0,3.0,0.0,3.0,3,5.0,2.0,0.0,Partidos
